t,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.0,4.0,0.0,1.5,1.0,0.0,0.0,0.0,-0.0,6.283185307179586,0.6283185307179586,0.0,0.0,1.5707963267948966
0.02,3.998026241462927,0.1256430363125132,1.5125581039058626,0.9998766324816608,0.0,0.0,0.015707317311820675,-0.19735961992705353,6.2800849345195715,0.6270786876233027,0.0,0.0,1.5707963267948966
0.04,3.9921069137130862,0.2511620781172535,1.5250666467128609,0.9995065603657317,0.0,0.0,0.0314107590781283,-0.39452446973675465,6.270786876233027,0.623364051433599,0.0,0.0,1.5707963267948966
0.06,3.982247858412319,0.37643325327405724,1.537476262917145,0.9988898749619701,0.0,0.0,0.04710645070964266,-0.5912999715263421,6.255300308380914,0.6171892821208327,0.0,0.0,1.5707963267948966
0.08,3.9684588052579106,0.501332934257217,1.549737977432971,0.9980267284282716,0.0,0.0,0.06279051952931337,-0.7874919316325438,6.23364051433599,0.6085787486784974,0.0,0.0,1.5707963267948966
0.1,3.9507533623805506,0.6257378601609235,1.5618033988749895,0.9969173337331279,0.0,0.0,0.07845909572784494,-0.9829067322772772,6.205828869699956,0.5975664329483112,0.0,0.0,1.5707963267948966
0.12,3.9291490029147544,0.7495252583428985,1.5736249105369355,0.9955619646030798,0.0,0.0,0.09410831331851431,-1.1773515226450209,6.171892821208327,0.5841957955094128,0.0,0.0,1.5707963267948966
0.14,3.90366704775499,0.8725729655861705,1.5851558583130145,0.9939609554551795,0.0,0.0,0.10973431109104528,-1.3706344092032863,6.131865859643817,0.5685196041593105,0.0,0.0,1.5707963267948966
0.16,3.874332644514525,0.9947595486594194,1.596350734820343,0.9921147013144777,0.0,0.0,0.12533323356430426,-1.5625646450783652,6.085787486784974,0.5505997256634926,0.0,0.0,1.5707963267948966
0.18,3.8411747427077727,1.115964424156917,1.6071653589957993,0.9900236577165574,0.0,0.0,0.14090123193758267,-1.7529528182994674,6.033703176422701,0.5305068815955681,0.0,0.0,1.5707963267948966
0.2,3.8042260651806146,1.2360679774997898,1.6175570504584946,0.9876883405951377,0.0,0.0,0.15643446504023087,-1.9416110387254666,5.975664329483112,0.508320369231526,0.0,0.0,1.5707963267948966
0.22,3.763523075816902,1.3549516809811657,1.627484797949738,0.9851093261547739,0.0,0.0,0.17192910027940955,-2.1283531234697857,5.91172822330102,0.4841277485996137,0.0,0.0,1.5707963267948966
0.24,3.719105943553005,1.472498210738712,1.6369094211857378,0.9822872507286886,0.0,0.0,0.18738131458572463,-2.3129947806404263,5.841957955094128,0.45802449692090835,0.0,0.0,1.5707963267948966
