t,ref_px,ref_py,ref_pz
0.0,3.456909192082982,0.547520627640808,1.5618033988749895
0.02,3.43800537755041,0.6558346010500362,1.5736249105369355
0.04,3.4157086667856165,0.7635013448878991,1.5851558583130145
0.06,3.3900410639502097,0.870414605076992,1.596350734820343
0.08,3.3610278998693013,0.9764688711373024,1.6071653589957993
0.1,3.3286978070330377,1.081559480312316,1.6175570504584946
0.12,3.293082691339789,1.18558272085852,1.627484797949738
0.14,3.2542177006088795,1.288435934396373,1.6369094211857378
0.16,3.2121411898939334,1.3900176172217322,1.6457937254842823
0.18,3.1668946836310674,1.4902275204777544,1.654102648555158
0.2,3.118522834659287,1.5889667490884136,1.6618033988749894
0.22,3.067073380153522,1.6861378593560035,1.668865585100403
0.24,3.0125970945138025,1.7816449551262996,1.6752613360087727
0.26,2.9551477392570527,1.875393782426488,1.680965410493204
0.28,2.894782009960967,1.9672918224824567,1.6859552971776504
0.3,2.8315594803123165,2.0572483830236554,1.6902113032590307
0.32,2.765542543314917,2.1451746877854174,1.6937166322257262
0.34,2.696796349715263,2.230983964120414,1.6964574501457377
0.36,2.625388743706609,2.314591528632781,1.6984229402628954
0.38,2.5513901959749408,2.3959148707504103,1.6996053456856544
0.4,2.474873734152917,2.4748737341529163,1.7
0.42,2.3959148707504108,2.5513901959749408,1.6996053456856544
0.44,2.314591528632781,2.625388743706609,1.6984229402628954
0.46,2.230983964120414,2.696796349715263,1.6964574501457377
0.48,2.145174687785418,2.7655425433149166,1.6937166322257262
0.5,2.057248383023656,2.831559480312316,1.6902113032590307
0.52,1.9672918224824572,2.894782009960967,1.6859552971776504
0.54,1.875393782426488,2.9551477392570527,1.680965410493204
0.56,1.7816449551262992,3.0125970945138025,1.6752613360087727
0.58,1.686137859356003,3.0670733801535226,1.668865585100403
0.6,1.5889667490884138,3.118522834659287,1.6618033988749894
0.62,1.4902275204777542,3.1668946836310683,1.654102648555158
0.64,1.390017617221732,3.2121411898939334,1.6457937254842823
0.66,1.2884359343963734,3.25421770060888,1.6369094211857378
0.68,1.1855827208585201,3.293082691339789,1.627484797949738
0.7000000000000001,1.0815594803123163,3.3286978070330377,1.6175570504584946
0.72,0.9764688711373024,3.3610278998693013,1.6071653589957993
0.74,0.8704146050769924,3.390041063950209,1.5963507348203432
0.76,0.7635013448878994,3.4157086667856165,1.5851558583130145
0.78,0.6558346010500365,3.4380053775504105,1.5736249105369355
0.8,0.5475206276408082,3.456909192082982,1.5618033988749895
0.8200000000000001,0.4386663174750649,3.472401454600672,1.549737977432971
0.84,0.32937909661479997,3.4844668761107798,1.537476262917145
0.86,0.2197668183525973,3.4930935494989503,1.5250666467128609
0.88,0.10993765677344941,3.498272961280061,1.5125581039058626
0.9,2.143131898507868e-16,3.5,1.5
0.92,-0.10993765677344897,3.498272961280061,1.4874418960941374
0.9400000000000001,-0.2197668183525969,3.493093549498951,1.4749333532871391
0.96,-0.32937909661480036,3.4844668761107798,1.462523737082855
0.98,-0.4386663174750653,3.472401454600672,1.450262022567029
1.0,-0.5475206276408087,3.456909192082982,1.4381966011250105
1.02,-0.655834601050037,3.4380053775504105,1.4263750894630642
1.04,-0.7635013448878991,3.4157086667856165,1.4148441416869855
1.06,-0.8704146050769914,3.3900410639502097,1.403649265179657
1.08,-0.9764688711373021,3.3610278998693017,1.3928346410042007
1.1,-1.0815594803123159,3.328697807033038,1.3824429495415054
1.12,-1.18558272085852,3.2930826913397895,1.372515202050262
1.1400000000000001,-1.2884359343963732,3.25421770060888,1.3630905788142622
1.16,-1.3900176172217318,3.212141189893934,1.3542062745157177
1.18,-1.4902275204777546,3.1668946836310683,1.345897351444842
1.2,-1.5889667490884134,3.118522834659287,1.3381966011250106
1.22,-1.686137859356004,3.067073380153522,1.331134414899597
1.24,-1.7816449551262992,3.0125970945138025,1.3247386639912273
1.26,-1.8753937824264888,2.955147739257052,1.319034589506796
1.28,-1.9672918224824572,2.8947820099609665,1.3140447028223496
1.3,-2.057248383023655,2.8315594803123165,1.3097886967409693
1.32,-2.1451746877854165,2.7655425433149174,1.3062833677742738
1.34,-2.230983964120414,2.696796349715263,1.3035425498542623
1.36,-2.314591528632781,2.625388743706609,1.3015770597371046
1.3800000000000001,-2.3959148707504108,2.5513901959749403,1.3003946543143456
1.4000000000000001,-2.474873734152916,2.474873734152917,1.3
1.42,-2.55139019597494,2.3959148707504108,1.3003946543143456
1.44,-2.6253887437066084,2.314591528632781,1.3015770597371046
1.46,-2.6967963497152625,2.230983964120414,1.3035425498542623
1.48,-2.765542543314917,2.1451746877854174,1.3062833677742738
1.5,-2.831559480312316,2.057248383023656,1.3097886967409693
1.52,-2.894782009960967,1.9672918224824563,1.3140447028223496
1.54,-2.9551477392570527,1.875393782426488,1.319034589506796
1.56,-3.012597094513803,1.7816449551262985,1.3247386639912273
1.58,-3.0670733801535217,1.6861378593560044,1.331134414899597
1.6,-3.118522834659287,1.588966749088414,1.3381966011250104
1.62,-3.1668946836310674,1.490227520477755,1.345897351444842
1.6400000000000001,-3.2121411898939334,1.3900176172217322,1.3542062745157177
1.6600000000000001,-3.2542177006088795,1.2884359343963734,1.3630905788142622
1.68,-3.2930826913397895,1.1855827208585197,1.372515202050262
1.7,-3.3286978070330377,1.0815594803123165,1.3824429495415054
1.72,-3.3610278998693017,0.9764688711373019,1.3928346410042007
1.74,-3.3900410639502097,0.870414605076992,1.403649265179657
1.76,-3.4157086667856165,0.7635013448878982,1.4148441416869855
1.78,-3.43800537755041,0.655834601050036,1.4263750894630645
1.8,-3.456909192082982,0.5475206276408084,1.4381966011250105
1.82,-3.472401454600672,0.4386663174750659,1.4502620225670289
1.84,-3.4844668761107793,0.32937909661480025,1.462523737082855
1.86,-3.4930935494989503,0.21976681835259754,1.4749333532871391
1.8800000000000001,-3.498272961280061,0.10993765677344886,1.4874418960941374
1.9000000000000001,-3.5,4.286263797015736e-16,1.5
1.92,-3.498272961280061,-0.10993765677344798,1.5125581039058626
1.94,-3.493093549498951,-0.21976681835259665,1.5250666467128609
1.96,-3.4844668761107798,-0.32937909661479936,1.5374762629171448
1.98,-3.472401454600672,-0.4386663174750651,1.549737977432971
2.0,-3.456909192082982,-0.5475206276408077,1.5618033988749895
2.02,-3.43800537755041,-0.6558346010500368,1.5736249105369358
2.04,-3.4157086667856165,-0.763501344887899,1.5851558583130145
2.06,-3.390041063950209,-0.8704146050769926,1.5963507348203432
2.08,-3.3610278998693013,-0.9764688711373026,1.6071653589957993
2.1,-3.3286978070330373,-1.0815594803123172,1.6175570504584946
2.12,-3.293082691339789,-1.1855827208585203,1.627484797949738
2.14,-3.2542177006088795,-1.2884359343963743,1.6369094211857378
2.16,-3.2121411898939334,-1.390017617221733,1.6457937254842823
2.18,-3.166894683631068,-1.4902275204777544,1.654102648555158
2.2,-3.1185228346592866,-1.5889667490884147,1.6618033988749896
2.22,-3.067073380153523,-1.6861378593560024,1.668865585100403
2.24,-3.0125970945138034,-1.781644955126298,1.6752613360087727
2.2600000000000002,-2.9551477392570535,-1.875393782426487,1.680965410493204
2.2800000000000002,-2.8947820099609674,-1.9672918224824554,1.6859552971776501
2.3000000000000003,-2.831559480312317,-2.057248383023655,1.6902113032590307
2.32,-2.7655425433149174,-2.1451746877854165,1.6937166322257262
2.34,-2.696796349715263,-2.230983964120414,1.6964574501457377
2.36,-2.6253887437066092,-2.314591528632781,1.6984229402628954
2.38,-2.5513901959749408,-2.3959148707504108,1.6996053456856544
2.4,-2.474873734152917,-2.474873734152916,1.7
2.42,-2.395914870750411,-2.55139019597494,1.6996053456856544
2.44,-2.3145915286327816,-2.6253887437066084,1.6984229402628954
2.46,-2.2309839641204134,-2.696796349715263,1.6964574501457377
2.48,-2.1451746877854174,-2.765542543314917,1.6937166322257262
2.5,-2.0572483830236563,-2.831559480312316,1.6902113032590307
2.52,-1.9672918224824578,-2.894782009960966,1.6859552971776504
2.54,-1.8753937824264868,-2.9551477392570535,1.680965410493204
2.56,-1.781644955126299,-3.0125970945138025,1.6752613360087727
2.58,-1.6861378593560035,-3.067073380153522,1.668865585100403
2.6,-1.5889667490884143,-3.1185228346592866,1.6618033988749896
2.62,-1.4902275204777526,-3.1668946836310683,1.6541026485551578
2.64,-1.390017617221731,-3.212141189893934,1.6457937254842823
2.66,-1.2884359343963723,-3.25421770060888,1.6369094211857376
2.68,-1.18558272085852,-3.293082691339789,1.627484797949738
2.7,-1.0815594803123167,-3.3286978070330373,1.6175570504584946
2.72,-0.9764688711373036,-3.361027899869301,1.6071653589957995
2.74,-0.8704146050769936,-3.390041063950209,1.5963507348203432
2.7600000000000002,-0.7635013448879016,-3.4157086667856156,1.5851558583130148
2.7800000000000002,-0.6558346010500363,-3.4380053775504105,1.5736249105369355
2.8000000000000003,-0.5475206276408087,-3.4569091920829815,1.5618033988749895
2.82,-0.4386663174750662,-3.472401454600672,1.5497379774329711
2.84,-0.32937909661480197,-3.4844668761107793,1.5374762629171452
2.86,-0.21976681835259618,-3.493093549498951,1.5250666467128609
2.88,-0.10993765677344905,-3.498272961280061,1.5125581039058626
2.9,-6.429395695523604e-16,-3.5,1.5
2.92,0.10993765677344779,-3.498272961280061,1.4874418960941376
2.94,0.21976681835259496,-3.493093549498951,1.4749333532871394
2.96,0.3293790966148007,-3.4844668761107798,1.462523737082855
2.98,0.4386663174750648,-3.472401454600672,1.450262022567029
3.0,0.5475206276408073,-3.456909192082982,1.4381966011250107
3.02,0.6558346010500349,-3.438005377550411,1.4263750894630645
3.04,0.7635013448879001,-3.4157086667856165,1.4148441416869852
3.06,0.8704146050769924,-3.390041063950209,1.4036492651796568
3.08,0.9764688711373024,-3.3610278998693013,1.3928346410042007
3.1,1.0815594803123154,-3.328697807033038,1.3824429495415054
