t,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.0,3.0,0.0,1.5,1.0,0.0,0.0,0.0,-0.0,4.71238898038469,0.6283185307179586,0.0,0.0,1.5707963267948966
0.02,2.998519681097195,0.0942322772343849,1.5125581039058626,0.9998766324816608,0.0,0.0,0.015707317311820675,-0.14801971494529015,4.710063700889679,0.6270786876233027,0.0,0.0,1.5707963267948966
0.04,2.9940801852848145,0.18837155858794014,1.5250666467128609,0.9995065603657317,0.0,0.0,0.0314107590781283,-0.29589335230256597,4.7030901571747705,0.623364051433599,0.0,0.0,1.5707963267948966
0.06,2.9866858938092395,0.2823249399555429,1.537476262917145,0.9988898749619701,0.0,0.0,0.04710645070964266,-0.44347497864475655,4.691475231285685,0.6171892821208327,0.0,0.0,1.5707963267948966
0.08,2.976344103943433,0.3759997006929128,1.549737977432971,0.9980267284282716,0.0,0.0,0.06279051952931337,-0.5906189487244079,4.675230385751992,0.6085787486784974,0.0,0.0,1.5707963267948966
0.1,2.963065021785413,0.46930339512069263,1.5618033988749895,0.9969173337331279,0.0,0.0,0.07845909572784494,-0.7371800492079579,4.654371652274967,0.5975664329483112,0.0,0.0,1.5707963267948966
0.12,2.9468617521860656,0.5621439437571739,1.5736249105369355,0.9955619646030798,0.0,0.0,0.09410831331851431,-0.8830136419837656,4.628919615906245,0.5841957955094128,0.0,0.0,1.5707963267948966
0.14,2.9277502858162427,0.6544297241896279,1.5851558583130145,0.9939609554551795,0.0,0.0,0.10973431109104528,-1.0279758069024647,4.598899394732863,0.5685196041593105,0.0,0.0,1.5707963267948966
0.16,2.905749483385894,0.7460696614945646,1.596350734820343,0.9921147013144777,0.0,0.0,0.12533323356430426,-1.171923483808774,4.564340615088731,0.5505997256634926,0.0,0.0,1.5707963267948966
0.18,2.8808810570308294,0.8369733181176878,1.6071653589957993,0.9900236577165574,0.0,0.0,0.14090123193758267,-1.3147146137246004,4.525277382317026,0.5305068815955681,0.0,0.0,1.5707963267948966
0.2,2.853169548885461,0.9270509831248424,1.6175570504584946,0.9876883405951377,0.0,0.0,0.15643446504023087,-1.4562082790441,4.481748247112334,0.508320369231526,0.0,0.0,1.5707963267948966
0.22,2.8226423068626763,1.0162137607358743,1.627484797949738,0.9851093261547739,0.0,0.0,0.17192910027940955,-1.5962648426023391,4.433796167475765,0.4841277485996137,0.0,0.0,1.5707963267948966
0.24,2.7893294576647536,1.104373658054034,1.6369094211857378,0.9822872507286886,0.0,0.0,0.18738131458572463,-1.7347460854803196,4.381468466320596,0.45802449692090835,0.0,0.0,1.5707963267948966
0.26,2.753263877051943,1.191443671904342,1.6457937254842823,0.9792228106217659,0.0,0.0,0.20278729535651252,-1.8715153434103642,4.324816784770268,0.4301136318043445,0.0,0.0,1.5707963267948966
0.28,2.714481157398058,1.2773378746952182,1.654102648555158,0.9759167619387475,0.0,0.0,0.21814324139654262,-2.0064376416472487,4.263897031194828,0.4005053046832758,0.0,0.0,1.5707963267948966
0.3,2.673019572565103,1.3619714992186402,1.6618033988749894,0.9723699203976768,0.0,0.0,0.23344536385590545,-2.1393798281719785,4.198769326036128,0.3693163660980913,0.0,0.0,1.5707963267948966
0.32,2.6289200401315904,1.4452610223051459,1.668865585100403,0.9685831611286313,0.0,0.0,0.24868988716485485,-2.27021070509676,4.129497942476195,0.336669904540516,0.0,0.0,1.5707963267948966
0.34,2.5822260810118305,1.527124247251114,1.6752613360087727,0.9645574184577982,0.0,0.0,0.263873049965373,-2.398801158141471,4.056151243007364,0.30269476067956796,0.0,0.0,1.5707963267948966
0.36,2.532983776506045,1.6074803849369896,1.680965410493204,0.9602936856769432,0.0,0.0,0.2789911060392293,-2.5250242840538695,3.978801611966761,0.26752501888629976,0.0,0.0,1.5707963267948966
0.38,2.481241722823686,1.6862501335563915,1.6859552971776504,0.9557930147983302,0.0,0.0,0.29404032523230395,-2.6487555158477836,3.8975253841016864,0.2312994780640427,0.0,0.0,1.5707963267948966
0.4,2.427050983124843,1.7633557568774192,1.6902113032590307,0.9510565162951536,0.0,0.0,0.30901699437494745,-2.7698727457356846,3.8124027692364453,0.1941611038725467,0.0,0.0,1.5707963267948966
0.42,2.3704650371270715,1.8387211609589291,1.6937166322257262,0.9460853588275454,0.0,0.0,0.3239174181981494,-2.8882564456343336,3.7235177731149323,0.1562564645078366,0.0,0.0,1.5707963267948966
